# L=6, T=4.0 
# E      M        E^2        M^2
-20.52    1.08     531.68     140.24
-20.84    1.32     518.88     137.2
-19.44    2.18     472.64     152.84
-19.52    -0.42     488.0     141.96
-21.16    2.98     547.68     141.08
-20.52    -0.98     567.2     148.52
-20.32    -0.6     535.36     150.48
-21.88    -1.04     574.88     155.36
-19.52    -0.6     468.8     120.56
-21.6    0.32     601.6     186.16
-19.56    -0.38     457.44     126.36
-19.68    -0.58     496.0     155.32
-20.44    0.88     545.12     170.72
-20.52    -0.28     555.68     163.44
-19.84    -0.46     488.96     151.24
-20.4    -0.36     499.2     132.16
-20.2    1.86     504.16     166.04
-20.96    0.38     520.32     138.6
-20.04    2.58     502.56     143.8
-19.92    1.62     484.8     143.0
-19.64    -1.1     480.48     132.12
-19.68    -1.54     478.08     118.36
-21.88    -0.16     587.36     166.56
-20.0    -2.68     480.0     142.88
-19.12    -1.4     476.48     155.2
-21.64    2.92     591.84     168.96
-19.64    1.5     502.24     161.0
-20.08    -0.34     521.28     160.36
-22.76    -0.48     653.28     190.88
-22.08    1.44     594.24     178.16
-19.96    -0.06     510.24     141.72
-21.84    0.08     580.48     167.52
-19.52    1.5     475.84     130.2
-21.76    0.28     590.72     186.0
-20.88    1.02     547.2     157.88
-20.28    -1.52     551.84     158.64
-19.16    2.16     437.92     129.6
-20.8    -0.48     512.32     133.92
-21.12    -0.06     555.84     151.96
-20.2    1.02     532.64     165.96
-19.92    3.02     507.84     161.56
-20.44    0.66     512.8     164.28
-21.12    0.84     555.2     167.92
-21.32    0.06     542.24     155.64
-21.84    1.22     585.28     161.64
-21.4    1.94     581.6     166.76
-19.32    -0.7     480.48     130.2
-18.64    0.2     463.68     122.0
-20.72    0.62     567.36     153.4
-20.28    1.46     524.64     158.68
-19.64    0.6     483.36     120.56
-19.76    1.44     506.88     144.08
-18.84    -1.3     458.4     131.88
-21.04    1.1     550.72     153.24
-19.24    -1.32     472.48     145.6
-20.48    -2.54     497.92     140.92
-20.84    -0.1     521.12     155.16
-20.52    0.82     522.72     137.32
-20.72    -0.98     515.52     140.28
-19.76    0.94     468.48     140.92
-20.76    1.48     535.52     156.24
-19.64    -2.0     506.4     166.32
-20.92    -0.22     560.16     167.16
-19.16    -2.48     486.56     139.6
-22.36    -0.8     589.92     167.84
-21.12    -0.36     595.2     174.16
-19.88    2.54     506.08     160.68
-18.16    0.98     412.48     138.52
-20.64    2.4     534.72     160.8
-19.96    -1.82     499.36     151.32
-21.72    0.6     589.28     161.36
-21.32    -1.58     572.0     161.96
-20.4    0.36     514.88     154.08
-18.72    0.46     448.96     132.68
-20.84    -1.34     528.8     162.44
-20.92    0.4     522.08     139.28
-20.2    3.34     489.76     139.72
-19.8    0.38     491.36     161.08
-20.6    1.2     556.0     187.84
-19.36    -1.42     455.36     130.84
-19.48    -2.42     450.4     121.96
-22.4    -0.14     606.4     185.88
-20.36    -2.58     515.68     177.88
-21.4    -0.02     575.84     150.84
-18.88    -1.56     459.84     130.4
-19.16    -0.88     468.32     130.88
-20.04    1.02     492.0     156.2
-19.48    0.1     465.44     127.08
-19.12    0.36     460.16     151.28
-20.96    1.08     569.6     156.72
-21.4    0.92     559.52     167.84
-18.44    0.84     437.6     120.4
-19.12    -0.8     457.28     129.52
-18.04    -1.62     410.08     124.44
-20.08    -1.24     519.36     158.88
-21.08    1.74     547.68     140.92
-20.88    0.2     514.56     128.88
-19.48    -1.5     468.0     135.16
-20.8    0.74     523.52     155.16
-22.16    3.28     615.36     183.12
-20.6    -0.88     511.84     149.36
-20.88    -1.3     542.4     160.44
-20.64    -1.0     526.72     168.32
-21.76    -1.1     575.36     171.72
-19.56    -0.24     460.96     131.2
-19.44    -2.36     458.24     138.8
-18.76    1.84     439.52     136.16
-19.68    -0.1     492.8     149.0
-18.44    -1.14     425.44     131.96
-20.48    0.1     548.8     159.96
-20.32    -1.26     534.72     169.96
-20.4    1.4     508.16     142.72
-20.2    2.1     507.04     161.08
-18.6    -2.26     420.96     123.4
-18.64    -0.06     456.64     121.08
-20.08    1.34     499.84     142.12
-19.4    1.74     490.72     140.2
-19.6    0.74     544.96     153.72
-19.28    -1.46     459.2     153.16
-19.8    -0.4     506.08     151.36
-20.56    -0.5     488.64     145.8
-19.92    1.98     497.6     158.04
-19.64    0.96     480.48     130.0
-20.64    1.22     538.56     140.2
-21.44    -0.72     541.76     150.24
-21.84    -1.02     604.16     173.8
-22.0    -0.7     629.12     155.64
-19.52    0.78     481.6     123.88
-18.68    1.64     452.64     138.4
-22.68    -0.36     615.84     158.56
-21.4    0.6     583.2     180.48
-21.16    -2.38     558.24     167.32
-20.76    -1.68     517.28     134.32
-19.28    1.06     469.12     156.28
-21.0    0.32     519.52     143.36
-21.04    -1.54     544.96     175.4
-20.68    0.3     512.48     139.32
-22.84    -0.08     634.08     190.32
-17.8    -0.02     415.2     131.72
-20.0    -0.84     535.04     188.56
-20.76    0.76     545.12     159.12
-21.52    -0.46     553.28     166.44
-20.2    0.64     506.72     136.8
-20.64    -1.12     532.8     151.12
-20.16    0.74     527.36     152.2
-21.08    2.04     556.64     175.52
-19.64    -2.4     488.8     142.56
-18.56    -1.92     441.92     135.76
-22.0    0.92     609.6     175.84
-20.52    -0.78     516.0     143.56
-20.08    -0.12     503.36     140.4
-21.56    0.88     562.08     167.28
-20.44    1.44     527.84     153.92
-22.84    -1.06     628.64     178.04
-19.64    -1.16     504.16     153.36
-20.92    -0.6     535.52     156.56
-20.44    1.44     520.16     181.12
-19.6    -0.1     474.56     145.8
-20.36    -0.12     529.44     164.8
-19.92    0.02     486.72     145.96
-17.68    -0.84     399.68     122.16
-18.48    -0.72     419.84     101.04
-20.88    -0.58     523.2     133.4
-20.2    0.12     526.88     143.68
-20.8    1.08     544.96     142.16
-18.96    -0.72     465.6     152.32
-20.6    0.38     519.52     172.04
-19.28    -0.08     459.2     144.32
-20.12    -2.3     503.52     149.88
-20.6    0.76     523.36     165.6
-20.84    3.18     534.56     168.12
-21.36    -1.48     565.76     163.2
-20.96    0.54     524.48     157.0
-22.0    -0.36     607.68     170.32
-19.8    -0.02     488.48     153.24
-19.52    0.38     503.68     149.96
-21.4    -0.36     565.28     148.64
-19.4    1.42     491.04     149.64
-19.52    -0.62     489.28     153.8
-22.48    -0.86     611.2     149.48
-20.6    -0.14     532.96     148.92
-20.36    -0.66     526.88     146.52
-18.8    -0.52     476.16     154.16
-20.32    0.08     500.16     137.76
-18.8    -1.42     445.44     135.48
-20.8    0.62     577.6     183.24
-20.72    0.84     548.8     147.84
-19.76    0.8     496.32     132.4
-21.88    -2.06     593.76     192.12
-19.28    1.18     476.16     143.4
-19.72    -0.6     505.44     147.6
-20.4    -0.38     520.64     140.28
-20.0    -0.54     500.48     124.52
-21.08    -0.3     585.76     162.36
-20.48    0.12     524.48     166.32
-19.52    1.02     487.68     124.52
-20.04    0.74     504.8     141.24
-20.88    1.02     541.76     171.72
-19.96    -0.52     537.76     181.44
-21.36    1.78     577.92     160.76
-18.32    -0.86     437.12     123.4
-21.48    2.28     574.56     182.64
-21.2    -1.36     578.88     170.4
-19.24    0.5     497.44     150.68
-18.6    0.62     443.68     122.92
-19.88    -0.66     512.48     132.92
-20.88    0.24     563.2     140.72
-19.4    0.28     461.6     133.28
-19.76    -1.18     488.64     148.36
-20.32    0.5     513.92     147.88
-20.24    -0.76     524.48     168.64
-20.2    -1.54     516.32     143.96
-19.84    -0.82     482.88     135.24
-21.16    0.24     548.96     164.56
-21.12    -1.06     530.24     145.4
-20.4    -0.46     529.28     172.36
-19.96    2.66     503.2     151.32
-20.64    -0.8     532.16     163.12
-19.92    -2.62     480.64     139.56
-19.68    -0.86     497.28     156.28
-19.56    1.52     457.76     135.76
-21.44    1.0     561.28     145.12
-19.32    2.6     466.08     113.68
-19.36    -0.72     461.44     131.92
-20.12    0.18     517.28     153.48
-20.32    -1.6     522.24     139.04
-17.44    1.1     399.36     120.68
-20.44    1.12     514.72     169.36
-18.92    -1.58     453.92     154.04
-20.96    2.22     536.32     156.28
-21.08    1.54     546.08     157.16
-20.56    -2.58     507.52     134.52
-21.6    0.8     569.92     155.76
-20.92    -0.84     554.72     178.08
-22.48    -2.18     616.96     178.04
-19.6    0.26     471.68     127.32
-19.56    -2.2     490.4     154.88
-20.24    0.72     507.84     141.28
-20.2    0.48     507.04     134.64
-20.4    1.14     519.36     142.04
-20.36    -1.38     511.2     140.68
-20.76    0.52     548.32     169.44
-21.12    -0.72     536.64     154.8
-20.24    2.24     520.32     149.52
-21.52    2.24     557.76     172.24
-19.04    -0.3     441.6     117.16
-20.68    -0.3     561.44     189.88
-22.12    0.16     605.28     162.48
-21.56    1.36     562.4     170.48
-21.08    -0.18     542.24     150.84
-20.24    1.06     512.32     162.68
-20.36    -0.28     527.84     124.88
-20.12    1.94     532.96     134.28
-20.04    -0.3     501.6     145.88
-22.0    0.82     590.72     167.0
-20.04    -0.98     511.84     143.8
-20.0    1.28     491.2     144.16
-21.8    2.74     603.68     168.2
-23.44    1.66     659.2     186.6
-20.52    -1.46     511.2     162.6
-20.12    1.42     518.56     133.88
-21.24    0.36     562.4     163.36
-20.48    -0.08     517.76     165.76
-21.28    0.54     581.76     193.64
-19.8    -0.2     499.36     144.32
-19.32    1.16     493.28     157.44
-20.52    1.92     532.32     142.88
-20.56    1.8     510.4     143.6
-18.44    0.04     440.16     137.04
-18.4    1.78     436.8     112.28
-18.88    -1.58     467.84     141.72
-19.4    0.9     496.8     151.56
-20.04    0.76     516.32     148.32
-20.04    -3.16     506.72     144.24
-20.92    -0.64     540.32     158.64
-20.0    0.94     488.96     144.04
-20.48    2.48     516.16     136.16
-20.84    0.02     522.72     153.72
-19.92    -0.12     508.8     155.28
